naziv,marka,model,gorivo,godinaproizvodnje,snagamotora,maxbrzina,masa,potrosnjagoriva,mjenjac
BMW Z4 (G29) M40i,BMW,Z4,benzin,2018,340hp,329 km/h,1695kg,13.3 l/100km,automatik
Ferrari 812 Competizione,Ferrari,812,benzin,2021,830hp,340km/h,1487kg,17 l/100km,automatik
Lamborghini Huracan STO,Lamborghini,Huracan,benzin,2020,640hp,310km/h,1339kg,15.7 l/100km,automatik
Mercedes-Benz X-class,Mercedes-Benz,X-class,dizel,2020,190hp,180km/h,2251kg,7.7 l/100km,manual
Tesla Model X,Tesla,Model X,električni,2021,1020hp,262km/h ,2445kg,20.8 kWh/100km,automatik
Rimac Nevera,Rimac,Nevera,električni,2021,1914hp,412km/h ,2150kg,21.8 kWh/100km,automatik
Ford Focus IV Active Wagon,Ford,Focus,dizel,2021,150hp,208km/h ,1458kg,4.5 l/100km,manual
Ford Fiesta VIII,Ford,Fiesta,benzin,2021,200hp,230km/h ,1205 kg,6.7 l/100km,manual
Porsche 718 Spyder,Porsche,718,benzin,2020,420hp,300km/h ,1450kg,10.2 l/100km,automatik
Ferrari 812 GTS,Ferrari,812,benzin,2019,800hp,340km/h ,1450kg,16.4 l/100km,automatik
